"card_id","card_name","card_type","set_id","price_euros","rarity","artist"
"base2-12","Vaporeon","Pokémon","base2",6.24,"Rare Holo","Kagemaru Himeno"
"base2-13","Venomoth","Pokémon","base2",21.71,"Rare Holo","Ken Sugimori"
"base2-14","Victreebel","Pokémon","base2",21.42,"Rare Holo","Ken Sugimori"
"base2-15","Vileplume","Pokémon","base2",8.26,"Rare Holo","Keiji Kinebuchi"
"base2-16","Wigglytuff","Pokémon","base2",12.68,"Rare Holo","Mitsuhiro Arita"
"base2-17","Clefable","Pokémon","base2",2.65,"Rare","Mitsuhiro Arita"
"base2-18","Electrode","Pokémon","base2",3.57,"Rare","Mitsuhiro Arita"
"base2-19","Flareon","Pokémon","base2",8.1,"Rare","Kagemaru Himeno"
"base2-2","Electrode","Pokémon","base2",15.96,"Rare Holo","Mitsuhiro Arita"
"base2-20","Jolteon","Pokémon","base2",4.4,"Rare","Kagemaru Himeno"
"base2-21","Kangaskhan","Pokémon","base2",3.51,"Rare","Mitsuhiro Arita"
"base2-22","Mr. Mime","Pokémon","base2",5.4,"Rare","Ken Sugimori"
"base2-23","Nidoqueen","Pokémon","base2",4.75,"Rare","Ken Sugimori"
"base2-24","Pidgeot","Pokémon","base2",7.37,"Rare","Kagemaru Himeno"
"base2-25","Pinsir","Pokémon","base2",4.97,"Rare","Kagemaru Himeno"
"base2-26","Scyther","Pokémon","base2",9.17,"Rare","Ken Sugimori"
"base2-27","Snorlax","Pokémon","base2",6.41,"Rare","Ken Sugimori"
"base2-28","Vaporeon","Pokémon","base2",5.58,"Rare","Kagemaru Himeno"
"base2-29","Venomoth","Pokémon","base2",2.24,"Rare","Ken Sugimori"
"base2-3","Flareon","Pokémon","base2",43.38,"Rare Holo","Kagemaru Himeno"
"base2-30","Victreebel","Pokémon","base2",3.81,"Rare","Ken Sugimori"
"base2-31","Vileplume","Pokémon","base2",4.17,"Rare","Keiji Kinebuchi"
"base2-32","Wigglytuff","Pokémon","base2",4.62,"Rare","Mitsuhiro Arita"
"base2-4","Jolteon","Pokémon","base2",27.91,"Rare Holo","Kagemaru Himeno"
"base2-5","Kangaskhan","Pokémon","base2",6.63,"Rare Holo","Mitsuhiro Arita"
"base2-6","Mr. Mime","Pokémon","base2",19.61,"Rare Holo","Ken Sugimori"
"base2-7","Nidoqueen","Pokémon","base2",24.61,"Rare Holo","Ken Sugimori"
"base2-8","Pidgeot","Pokémon","base2",14.72,"Rare Holo","Kagemaru Himeno"
"base2-9","Pinsir","Pokémon","base2",16.43,"Rare Holo","Kagemaru Himeno"
"base3-1","Aerodactyl","Pokémon","base3",6.32,"Rare Holo","Kagemaru Himeno"
"base3-10","Lapras","Pokémon","base3",8.23,"Rare Holo","Ken Sugimori"
"base3-11","Magneton","Pokémon","base3",12.3,"Rare Holo","Ken Sugimori"
"base3-12","Moltres","Pokémon","base3",24.95,"Rare Holo","Mitsuhiro Arita"
"base3-13","Muk","Pokémon","base3",6.87,"Rare Holo","Mitsuhiro Arita"
"base3-14","Raichu","Pokémon","base3",41.75,"Rare Holo","Mitsuhiro Arita"
"base3-15","Zapdos","Pokémon","base3",26.15,"Rare Holo","Mitsuhiro Arita"
"base3-16","Aerodactyl","Pokémon","base3",4.55,"Rare","Kagemaru Himeno"
"base3-17","Articuno","Pokémon","base3",8.12,"Rare","Mitsuhiro Arita"
"base3-18","Ditto","Pokémon","base3",4.86,"Rare","Keiji Kinebuchi"
"base3-19","Dragonite","Pokémon","base3",9.19,"Rare","Kagemaru Himeno"
"base3-2","Articuno","Pokémon","base3",29.41,"Rare Holo","Mitsuhiro Arita"
"base3-20","Gengar","Pokémon","base3",5.92,"Rare","Keiji Kinebuchi"
"base3-21","Haunter","Pokémon","base3",5.47,"Rare","Ken Sugimori"
"base3-22","Hitmonlee","Pokémon","base3",7.63,"Rare","Ken Sugimori"
"base3-23","Hypno","Pokémon","base3",5.64,"Rare","Ken Sugimori"
"base3-24","Kabutops","Pokémon","base3",4.28,"Rare","Ken Sugimori"
"base3-25","Lapras","Pokémon","base3",6.79,"Rare","Ken Sugimori"
"base3-26","Magneton","Pokémon","base3",4.65,"Rare","Ken Sugimori"
"base3-27","Moltres","Pokémon","base3",5.99,"Rare","Mitsuhiro Arita"
"base3-28","Muk","Pokémon","base3",6.74,"Rare","Mitsuhiro Arita"
"base3-29","Raichu","Pokémon","base3",4.47,"Rare","Mitsuhiro Arita"
"base3-3","Ditto","Pokémon","base3",24.61,"Rare Holo","Keiji Kinebuchi"
"base3-30","Zapdos","Pokémon","base3",6.73,"Rare","Mitsuhiro Arita"
"base3-4","Dragonite","Pokémon","base3",53.9,"Rare Holo","Kagemaru Himeno"
"base3-5","Gengar","Pokémon","base3",40.48,"Rare Holo","Keiji Kinebuchi"
"base3-6","Haunter","Pokémon","base3",33.32,"Rare Holo","Ken Sugimori"
"base3-7","Hitmonlee","Pokémon","base3",24.51,"Rare Holo","Ken Sugimori"
"base3-8","Hypno","Pokémon","base3",16.57,"Rare Holo","Ken Sugimori"
"base3-9","Kabutops","Pokémon","base3",18.97,"Rare Holo","Ken Sugimori"
"base4-1","Alakazam","Pokémon","base4",27,"Rare Holo","Ken Sugimori"
"base4-10","Mewtwo","Pokémon","base4",19.52,"Rare Holo","Ken Sugimori"
"base4-101","Computer Search","Trainer","base4",2.45,"Rare","Keiji Kinebuchi"
"base4-102","Imposter Professor Oak","Trainer","base4",2.03,"Rare","Ken Sugimori"
"base4-103","Item Finder","Trainer","base4",6.62,"Rare","Keiji Kinebuchi"
"base4-104","Lass","Trainer","base4",3.54,"Rare","Ken Sugimori"
"base4-105","Pokémon Breeder","Trainer","base4",3.91,"Rare","Ken Sugimori"
"base4-106","Pokémon Trader","Trainer","base4",2.09,"Rare","Ken Sugimori"
"base4-107","Scoop Up","Trainer","base4",4.69,"Rare","Keiji Kinebuchi"
"base4-108","Super Energy Removal","Trainer","base4",2.37,"Rare","Keiji Kinebuchi"
"base4-11","Nidoking","Pokémon","base4",17.79,"Rare Holo","Ken Sugimori"
"base4-12","Nidoqueen","Pokémon","base4",15.82,"Rare Holo","Ken Sugimori"
"base4-13","Ninetales","Pokémon","base4",17.84,"Rare Holo","Ken Sugimori"
"base4-14","Pidgeot","Pokémon","base4",32.52,"Rare Holo","Kagemaru Himeno"
"base4-15","Poliwrath","Pokémon","base4",6.12,"Rare Holo","Ken Sugimori"
"base4-16","Raichu","Pokémon","base4",21.12,"Rare Holo","Ken Sugimori"
"base4-17","Scyther","Pokémon","base4",20.02,"Rare Holo","Ken Sugimori"
"base4-18","Venusaur","Pokémon","base4",74.97,"Rare Holo","Mitsuhiro Arita"
"base4-19","Wigglytuff","Pokémon","base4",7.06,"Rare Holo","Mitsuhiro Arita"
"base4-2","Blastoise","Pokémon","base4",56.69,"Rare Holo","Ken Sugimori"
"base4-20","Zapdos","Pokémon","base4",20.96,"Rare Holo","Ken Sugimori"
"base4-21","Beedrill","Pokémon","base4",1.65,"Rare","Ken Sugimori"
"base4-22","Dragonair","Pokémon","base4",4.85,"Rare","Mitsuhiro Arita"
"base4-23","Dugtrio","Pokémon","base4",3.41,"Rare","Keiji Kinebuchi"
"base4-24","Electabuzz","Pokémon","base4",4.23,"Rare","Ken Sugimori"
"base4-25","Electrode","Pokémon","base4",2.88,"Rare","Keiji Kinebuchi"
"base4-26","Kangaskhan","Pokémon","base4",3.01,"Rare","Mitsuhiro Arita"
"base4-27","Mr. Mime","Pokémon","base4",3.26,"Rare","Ken Sugimori"
"base4-28","Pidgeotto","Pokémon","base4",3.89,"Rare","Ken Sugimori"
"base4-29","Pinsir","Pokémon","base4",2.6,"Rare","Kagemaru Himeno"
"base4-3","Chansey","Pokémon","base4",10.02,"Rare Holo","Ken Sugimori"
"base4-30","Snorlax","Pokémon","base4",5.9,"Rare","Ken Sugimori"
"base4-31","Venomoth","Pokémon","base4",3.13,"Rare","Ken Sugimori"
"base4-32","Victreebel","Pokémon","base4",3.25,"Rare","Ken Sugimori"
"base4-4","Charizard","Pokémon","base4",173.34,"Rare Holo","Mitsuhiro Arita"
"base4-5","Clefable","Pokémon","base4",16.19,"Rare Holo","Mitsuhiro Arita"
"base4-6","Clefairy","Pokémon","base4",8.95,"Rare Holo","Ken Sugimori"
"base4-7","Gyarados","Pokémon","base4",27.81,"Rare Holo","Mitsuhiro Arita"
"base4-8","Hitmonchan","Pokémon","base4",13.64,"Rare Holo","Ken Sugimori"
"base4-9","Magneton","Pokémon","base4",11.82,"Rare Holo","Keiji Kinebuchi"
"base5-1","Dark Alakazam","Pokémon","base5",29.25,"Rare Holo","Ken Sugimori"
"base5-10","Dark Machamp","Pokémon","base5",20.5,"Rare Holo","Mitsuhiro Arita"
"base5-11","Dark Magneton","Pokémon","base5",21,"Rare Holo","Miki Tanaka"
"base5-12","Dark Slowbro","Pokémon","base5",15.79,"Rare Holo","Mitsuhiro Arita"
"base5-13","Dark Vileplume","Pokémon","base5",22.71,"Rare Holo","Kagemaru Himeno"
"base5-14","Dark Weezing","Pokémon","base5",5.16,"Rare Holo","Shin-ichi Yoshida"
"base5-15","Here Comes Team Rocket!","Trainer","base5",18.59,"Rare Holo","Ken Sugimori"
"base5-16","Rocket's Sneak Attack","Trainer","base5",7.32,"Rare Holo","Ken Sugimori"
"base5-17","Rainbow Energy","Energy","base5",15.26,"Rare Holo","Takumi Akabane"
"base5-18","Dark Alakazam","Pokémon","base5",10.27,"Rare","Ken Sugimori"
"base5-19","Dark Arbok","Pokémon","base5",6.87,"Rare","Mitsuhiro Arita"
"base5-2","Dark Arbok","Pokémon","base5",5.67,"Rare Holo","Mitsuhiro Arita"
"base5-20","Dark Blastoise","Pokémon","base5",26.47,"Rare","Mitsuhiro Arita"
"base5-21","Dark Charizard","Pokémon","base5",37.3,"Rare","Ken Sugimori"
"base5-22","Dark Dragonite","Pokémon","base5",10.33,"Rare","Mitsuhiro Arita"
"base5-23","Dark Dugtrio","Pokémon","base5",7.33,"Rare","Kagemaru Himeno"
"base5-24","Dark Golbat","Pokémon","base5",3.34,"Rare","Mitsuhiro Arita"
"base5-25","Dark Gyarados","Pokémon","base5",10.95,"Rare","Kagemaru Himeno"
"base5-26","Dark Hypno","Pokémon","base5",4.06,"Rare","Kagemaru Himeno"
"base5-27","Dark Machamp","Pokémon","base5",5.85,"Rare","Mitsuhiro Arita"
"base5-28","Dark Magneton","Pokémon","base5",4.27,"Rare","Miki Tanaka"
"base5-29","Dark Slowbro","Pokémon","base5",5.37,"Rare","Mitsuhiro Arita"
"base5-3","Dark Blastoise","Pokémon","base5",98.43,"Rare Holo","Mitsuhiro Arita"
"base5-30","Dark Vileplume","Pokémon","base5",6,"Rare","Kagemaru Himeno"
"base5-31","Dark Weezing","Pokémon","base5",4.76,"Rare","Shin-ichi Yoshida"
"base5-4","Dark Charizard","Pokémon","base5",139.57,"Rare Holo","Ken Sugimori"
"base5-5","Dark Dragonite","Pokémon","base5",87.58,"Rare Holo","Mitsuhiro Arita"
"base5-6","Dark Dugtrio","Pokémon","base5",15.75,"Rare Holo","Kagemaru Himeno"
"base5-7","Dark Golbat","Pokémon","base5",16.29,"Rare Holo","Mitsuhiro Arita"
"base5-71","Here Comes Team Rocket!","Trainer","base5",5.9,"Rare","Ken Sugimori"
"base5-72","Rocket's Sneak Attack","Trainer","base5",7.12,"Rare","Ken Sugimori"
"base5-8","Dark Gyarados","Pokémon","base5",15.16,"Rare Holo","Kagemaru Himeno"
"base5-80","Rainbow Energy","Energy","base5",4.61,"Rare","Takumi Akabane"
"base5-83","Dark Raichu","Pokémon","base5",82.96,"Rare Secret","Mitsuhiro Arita"
"base5-9","Dark Hypno","Pokémon","base5",17.33,"Rare Holo","Kagemaru Himeno"
"base6-1","Alakazam","Pokémon","base6",15.62,"Rare Holo","Ken Sugimori"
"base6-10","Flareon","Pokémon","base6",14.55,"Rare Holo","Kagemaru Himeno"
"base6-102","Pokémon Breeder","Trainer","base6",4.7,"Rare","Ken Sugimori"
"base6-103","Pokémon Trader","Trainer","base6",2.98,"Rare","Ken Sugimori"
"base6-104","Scoop Up","Trainer","base6",4.48,"Rare","Keiji Kinebuchi"
"base6-11","Gengar","Pokémon","base6",15.25,"Rare Holo","Keiji Kinebuchi"
"base6-12","Gyarados","Pokémon","base6",14.99,"Rare Holo","Mitsuhiro Arita"
"base6-13","Hitmonlee","Pokémon","base6",10.37,"Rare Holo","Ken Sugimori"
"base6-14","Jolteon","Pokémon","base6",14.59,"Rare Holo","Kagemaru Himeno"
"base6-15","Machamp","Pokémon","base6",8.06,"Rare Holo","Ken Sugimori"
"base6-16","Muk","Pokémon","base6",7.51,"Rare Holo","Mitsuhiro Arita"
"base6-17","Ninetales","Pokémon","base6",15.45,"Rare Holo","Ken Sugimori"
"base6-18","Venusaur","Pokémon","base6",39.19,"Rare Holo","Mitsuhiro Arita"
"base6-19","Zapdos","Pokémon","base6",10.56,"Rare Holo","Ken Sugimori"
"base6-2","Articuno","Pokémon","base6",17.26,"Rare Holo","Mitsuhiro Arita"
"base6-20","Beedrill","Pokémon","base6",2.32,"Rare","Ken Sugimori"
"base6-21","Butterfree","Pokémon","base6",2.4,"Rare","Kagemaru Himeno"
"base6-22","Electrode","Pokémon","base6",2.48,"Rare","Mitsuhiro Arita"
"base6-23","Exeggutor","Pokémon","base6",0.84,"Rare","Kagemaru Himeno"
"base6-24","Golem","Pokémon","base6",2.38,"Rare","Kagemaru Himeno"
"base6-25","Hypno","Pokémon","base6",1.75,"Rare","Ken Sugimori"
"base6-26","Jynx","Pokémon","base6",1.71,"Rare","Ken Sugimori"
"base6-27","Kabutops","Pokémon","base6",4.93,"Rare","Ken Sugimori"
"base6-28","Magneton","Pokémon","base6",0.26,"Rare","Ken Sugimori"
"base6-29","Mewtwo","Pokémon","base6",11.69,"Rare","Christopher Rush"
"base6-3","Charizard","Pokémon","base6",83.85,"Rare Holo","Mitsuhiro Arita"
"base6-30","Moltres","Pokémon","base6",4.01,"Rare","Mitsuhiro Arita"
"base6-31","Nidoking","Pokémon","base6",2.91,"Rare","Ken Sugimori"
"base6-32","Nidoqueen","Pokémon","base6",3.96,"Rare","Ken Sugimori"
"base6-33","Pidgeot","Pokémon","base6",1.77,"Rare","Kagemaru Himeno"
"base6-34","Pidgeotto","Pokémon","base6",3.52,"Rare","Ken Sugimori"
"base6-35","Rhydon","Pokémon","base6",3.1,"Rare","Kagemaru Himeno"
"base6-4","Dark Blastoise","Pokémon","base6",19.71,"Rare Holo","Mitsuhiro Arita"
"base6-5","Dark Dragonite","Pokémon","base6",22.8,"Rare Holo","Mitsuhiro Arita"
"base6-6","Dark Persian","Pokémon","base6",7.64,"Rare Holo","Shin-ichi Yoshida"
"base6-7","Dark Raichu","Pokémon","base6",21.46,"Rare Holo","Mitsuhiro Arita"
"base6-8","Dark Slowbro","Pokémon","base6",7.47,"Rare Holo","Mitsuhiro Arita"
"base6-9","Dark Vaporeon","Pokémon","base6",36.71,"Rare Holo","Mitsuhiro Arita"
"basep-1","Pikachu","Pokémon","basep",5.76,"Promo","Keiji Kinebuchi"
"basep-10","Meowth","Pokémon","basep",0.02,"Promo","Kagemaru Himeno"
"basep-11","Eevee","Pokémon","basep",14.42,"Promo","Kagemaru Himeno"
"basep-12","Mewtwo","Pokémon","basep",128.94,"Promo","Christopher Rush"
"basep-13","Venusaur","Pokémon","basep",51.28,"Promo","Ken Sugimori"
"basep-14","Mewtwo","Pokémon","basep",4,"Promo","Benimaru Itoh"
"basep-15","Cool Porygon","Pokémon","basep",28.28,"Promo","Hiromichi Sugiyama"
"basep-16","Computer Error","Trainer","basep",2.18,"Promo","Sumiyoshi Kizuki"
"basep-17","Dark Persian","Pokémon","basep",12.79,"Promo","Ken Sugimori"
"basep-18","Team Rocket's Meowth","Pokémon","basep",6.57,"Promo","Kunihiko Yuyama"
"basep-19","Sabrina's Abra","Pokémon","basep",4.94,"Promo","Atsuko Nishida"
"basep-2","Electabuzz","Pokémon","basep",2.63,"Promo","Ken Sugimori"
"basep-20","Psyduck","Pokémon","basep",11.06,"Promo","Kagemaru Himeno"
"basep-21","Moltres","Pokémon","basep",5.62,"Promo","Toshinao Aoki"
"basep-22","Articuno","Pokémon","basep",6.33,"Promo","Toshinao Aoki"
"basep-23","Zapdos","Pokémon","basep",5.26,"Promo","Toshinao Aoki"
"basep-24","_____'s Pikachu","Pokémon","basep",100.05,"Promo","Kagemaru Himeno"
"basep-25","Flying Pikachu","Pokémon","basep",12.13,"Promo","Toshinao Aoki"
"basep-26","Pikachu","Pokémon","basep",11.26,"Promo","Gakuji Nomoto"
"basep-27","Pikachu","Pokémon","basep",11.53,"Promo","Atsuko Nishida"
"basep-28","Surfing Pikachu","Pokémon","basep",14.17,"Promo","Toshinao Aoki"
"basep-29","Marill","Pokémon","basep",4.38,"Promo","Ken Sugimori"
"basep-3","Mewtwo","Pokémon","basep",7.44,"Promo","Ken Sugimori"
"basep-30","Togepi","Pokémon","basep",4.81,"Promo","Ken Sugimori"
"basep-31","Cleffa","Pokémon","basep",9.13,"Promo","Ken Sugimori"
"basep-32","Smeargle","Pokémon","basep",4.42,"Promo","Tomokazu Komiya"
"basep-33","Scizor","Pokémon","basep",6.9,"Promo","Hironobu Yoshida"
"basep-34","Entei","Pokémon","basep",13.28,"Promo","Ken Sugimori"
"basep-35","Pichu","Pokémon","basep",25.24,"Promo","Ken Sugimori"
"basep-36","Igglybuff","Pokémon","basep",5.31,"Promo","Kagemaru Himeno"
"basep-37","Hitmontop","Pokémon","basep",4.19,"Promo","Atsuko Nishida"
"basep-38","Unown [J]","Pokémon","basep",3.66,"Promo","Hideki Kazama"
"basep-39","Misdreavus","Pokémon","basep",5.01,"Promo","Shin-ichi Yoshida"
"basep-4","Pikachu","Pokémon","basep",7.1,"Promo","Ken Sugimori"
"basep-40","Pokémon Center","Trainer","basep",667.02,"Promo","""Big Mama"" Tagawa"
"basep-41","Lucky Stadium","Trainer","basep",626.81,"Promo","""Big Mama"" Tagawa"
"basep-42","Pokémon Tower","Trainer","basep",4.7,"Promo","Keiji Kinebuchi"
"basep-43","Machamp","Pokémon","basep",9.75,"Promo","Tomokazu Komiya"
"basep-44","Magmar","Pokémon","basep",8.16,"Promo","Atsuko Nishida"
"basep-45","Scyther","Pokémon","basep",18.45,"Promo","Hironobu Yoshida"
"basep-46","Electabuzz","Pokémon","basep",18.53,"Promo","Miki Tanaka"
"basep-47","Mew","Pokémon","basep",26,"Promo","Ken Sugimori"
"basep-48","Articuno","Pokémon","basep",23.82,"Promo","Atsuko Nishida"
"basep-49","Snorlax","Pokémon","basep",50.4,"Promo","Craig Turvey"
"basep-5","Dragonite","Pokémon","basep",6,"Promo","Toshinao Aoki"
"basep-50","Celebi","Pokémon","basep",44.61,"Promo","Hajime Kusajima"
"basep-51","Rapidash","Pokémon","basep",30.86,"Promo","Mitsuhiro Arita"
"basep-52","Ho-oh","Pokémon","basep",22.45,"Promo","Mitsuhiro Arita"
"basep-53","Suicune","Pokémon","basep",54.39,"Promo","Atsuko Nishida"
"basep-6","Arcanine","Pokémon","basep",5.35,"Promo","Ken Sugimori"
"basep-7","Jigglypuff","Pokémon","basep",6.1,"Promo","Keiji Kinebuchi"
"basep-8","Mew","Pokémon","basep",3.39,"Promo","Ken Sugimori"
"basep-9","Mew","Pokémon","basep",19.11,"Promo","Ken Sugimori"
"bp-1","Electabuzz","Pokémon","bp",27.57,"Promo","Ken Sugimori"
"bp-2","Hitmonchan","Pokémon","bp",14.99,"Promo","Ken Sugimori"
"bp-3","Professor Elm","Trainer","bp",13.88,"Promo","Ken Sugimori"
"bp-4","Rocket's Scizor","Pokémon","bp",12.87,"Promo","K Hoshiba"
"bp-5","Rocket's Sneasel","Pokémon","bp",12.51,"Promo","Katsura Tabata"
"bp-6","Dark Ivysaur","Pokémon","bp",49.42,"Promo","Shin-ichi Yoshida"
"bp-7","Dark Venusaur","Pokémon","bp",44.53,"Promo","Shin-ichi Yoshida"
"bp-8","Rocket's Mewtwo","Pokémon","bp",263.47,"Promo","Shin-ichi Yoshida"
"bp-9","Rocket's Hitmonchan","Pokémon","bp",70.08,"Promo","Ken Sugimori"
"bw1-10","Lilligant","Pokémon","bw1",0.67,"Rare","Atsuko Nishida"
"bw1-113","Reshiram","Pokémon","bw1",11.23,"Rare Ultra","5ban Graphics"
"bw1-114","Zekrom","Pokémon","bw1",8.71,"Rare Ultra","5ban Graphics"
"bw1-115","Pikachu","Pokémon","bw1",18.5,"Rare Secret","Kouki Saitou"
"bw1-12","Maractus","Pokémon","bw1",0.71,"Rare","Kouki Saitou"
"bw1-14","Sawsbuck","Pokémon","bw1",0.44,"Rare","Naoyo Kimura"
"bw1-19","Emboar","Pokémon","bw1",1.58,"Rare Holo","Kouki Saitou"
"bw1-20","Emboar","Pokémon","bw1",2.19,"Rare Holo","5ban Graphics"
"bw1-25","Darmanitan","Pokémon","bw1",1,"Rare","Naoki Saito"
"bw1-26","Reshiram","Pokémon","bw1",2.74,"Rare Holo","5ban Graphics"
"bw1-31","Samurott","Pokémon","bw1",1.42,"Rare Holo","Masakazu Fukuda"
"bw1-32","Samurott","Pokémon","bw1",1.65,"Rare Holo","5ban Graphics"
"bw1-37","Swanna","Pokémon","bw1",0.81,"Rare","Naoyo Kimura"
"bw1-39","Alomomola","Pokémon","bw1",0.65,"Rare","Naoyo Kimura"
"bw1-43","Zebstrika","Pokémon","bw1",0.6,"Rare","Masakazu Fukuda"
"bw1-46","Galvantula","Pokémon","bw1",0.72,"Rare","Mitsuhiro Arita"
"bw1-47","Zekrom","Pokémon","bw1",1.86,"Rare Holo","5ban Graphics"
"bw1-49","Musharna","Pokémon","bw1",0.51,"Rare","Masakazu Fukuda"
"bw1-5","Serperior","Pokémon","bw1",0.83,"Rare Holo","Kagemaru Himeno"
"bw1-54","Scolipede","Pokémon","bw1",0.38,"Rare","Masakazu Fukuda"
"bw1-57","Reuniclus","Pokémon","bw1",1.41,"Rare Holo","5ban Graphics"
"bw1-6","Serperior","Pokémon","bw1",1.86,"Rare Holo","5ban Graphics"
"bw1-61","Throh","Pokémon","bw1",0.57,"Rare","Mitsuhiro Arita"
"bw1-62","Sawk","Pokémon","bw1",0.58,"Rare","Naoki Saito"
"bw1-65","Krookodile","Pokémon","bw1",1.83,"Rare Holo","Masakazu Fukuda"
"bw1-67","Liepard","Pokémon","bw1",0.78,"Rare","Mitsuhiro Arita"
"bw1-69","Scrafty","Pokémon","bw1",0.85,"Rare","Shin Nagasawa"
"bw1-71","Zoroark","Pokémon","bw1",2.5,"Rare Holo","Naoki Saito"
"bw1-73","Mandibuzz","Pokémon","bw1",0.63,"Rare","Kouki Saitou"
"bw1-76","Klinklang","Pokémon","bw1",0.02,"Rare Holo","5ban Graphics"
"bw1-83","Stoutland","Pokémon","bw1",0.41,"Rare","match"
"bw1-86","Unfezant","Pokémon","bw1",0.35,"Rare","Kagemaru Himeno"
"bw1-89","Cinccino","Pokémon","bw1",0.46,"Rare","Kagemaru Himeno"
"bw1-91","Bouffalant","Pokémon","bw1",0.71,"Rare","Kouki Saitou"
"bw10-10","Genesect","Pokémon","bw10",0.61,"Rare","Masakazu Fukuda"
"bw10-100","Palkia-EX","Pokémon","bw10",78.32,"Rare Ultra","5ban Graphics"
"bw10-101","Iris","Trainer","bw10",43.34,"Rare Ultra","Kagemaru Himeno"
"bw10-102","Exeggcute","Pokémon","bw10",51.77,"Rare Secret","5ban Graphics"
"bw10-103","Virizion","Pokémon","bw10",55.49,"Rare Secret","Ayaka Yoshida"
"bw10-104","Dusknoir","Pokémon","bw10",77.94,"Rare Secret","Ayaka Yoshida"
"bw10-105","Rare Candy","Trainer","bw10",66.78,"Rare Secret","5ban Graphics"
"bw10-11","Genesect-EX","Pokémon","bw10",9.15,"Rare Holo EX","Eske Yoshinob"
"bw10-13","Volcarona","Pokémon","bw10",0.48,"Rare","5ban Graphics"
"bw10-16","Blastoise","Pokémon","bw10",5.8,"Rare Holo","Satoshi Shirai"
"bw10-2","Masquerain","Pokémon","bw10",0.41,"Rare","5ban Graphics"
"bw10-20","Suicune","Pokémon","bw10",1.59,"Rare","kawayoo"
"bw10-23","Froslass","Pokémon","bw10",0.7,"Rare","5ban Graphics"
"bw10-28","Carracosta","Pokémon","bw10",1.15,"Rare","Mitsuhiro Arita"
"bw10-30","Kyurem-EX","Pokémon","bw10",8.28,"Rare Holo EX","Eske Yoshinob"
"bw10-33","Eelektross","Pokémon","bw10",1.74,"Rare Holo","5ban Graphics"
"bw10-35","Drifblim","Pokémon","bw10",0.5,"Rare","Akira Komayama"
"bw10-36","Uxie","Pokémon","bw10",0.82,"Rare","Sumiyoshi Kizuki"
